Date,Open,High,Low,Close,Volume,Market Cap
01-01-2017,0.005734,0.006462,0.005484,0.0057,301,23696
02-01-2017,0.0057,0.008192,0.005699,0.007623,8370,23756
03-01-2017,0.007622,0.007914,0.00612,0.00616,2284,32032
04-01-2017,0.006159,0.006874,0.006042,0.006483,250,26107
05-01-2017,0.00649,0.007021,0.003532,0.004175,540,27740
06-01-2017,0.004179,0.005476,0.003612,0.003798,213,18013
07-01-2017,0.003749,0.008026,0.003335,0.004924,3313,16298
08-01-2017,0.004925,0.00671,0.004869,0.004932,2775,21585
09-01-2017,0.00492,0.005777,0.004287,0.004426,702,21745
10-01-2017,0.004422,0.006277,0.004422,0.005509,820,19701
11-01-2017,0.00551,0.005677,0.004752,0.004947,526,24747
12-01-2017,0.004947,0.005378,0.004686,0.004958,306,22397
13-01-2017,0.004975,0.006624,0.004879,0.006583,577,22707
14-01-2017,0.006592,0.010471,0.006193,0.010471,1581,30319
15-01-2017,0.011491,0.012249,0.004894,0.00549,3414,53274
16-01-2017,0.00535,0.008414,0.00535,0.0069,1273,25000
17-01-2017,0.006902,0.007881,0.006401,0.006551,485,32392
18-01-2017,0.006566,0.007575,0.006137,0.006313,368,30934
19-01-2017,0.006313,0.006931,0.006288,0.006512,240,29857
20-01-2017,0.006509,0.007333,0.006441,0.006534,285,30892
21-01-2017,0.006534,0.007511,0.006534,0.006748,317,31007
22-01-2017,0.006751,0.007639,0.006585,0.006964,167,32036
23-01-2017,0.006963,0.009437,0.006895,0.008294,1404,33044
24-01-2017,0.008196,0.009408,0.006656,0.006704,575,38897
25-01-2017,0.006704,0.008005,0.006679,0.007393,390,31816
26-01-2017,0.0074,0.007973,0.00702,0.007597,446,35925
27-01-2017,0.007598,0.008198,0.007241,0.007404,151,37012
28-01-2017,0.007404,0.00825,0.005684,0.007557,555,36205
29-01-2017,0.007557,0.008253,0.00623,0.007218,486,37086
30-01-2017,0.007218,0.008241,0.00654,0.007578,393,35551
31-01-2017,0.007575,0.00858,0.006593,0.00787,575,37434
01-02-2017,0.00853,0.010861,0.007892,0.010861,588,42298
02-02-2017,0.010859,0.01199,0.008933,0.01199,1257,54045
03-02-2017,0.012138,0.015322,0.010007,0.011834,2001,60626
04-02-2017,0.01185,0.011864,0.008415,0.010429,415,59406
05-02-2017,0.010435,0.012356,0.009483,0.010469,3110,52499
06-02-2017,0.010479,0.010552,0.009533,0.009541,642,52906
07-02-2017,0.009559,0.010798,0.009037,0.009839,1740,48430
08-02-2017,0.009848,0.010919,0.008955,0.010546,379,50067
09-02-2017,0.010562,0.010982,0.008947,0.009039,178,53888
10-02-2017,0.00905,0.012776,0.00897,0.010984,704,46337
11-02-2017,0.010987,0.013491,0.009674,0.013359,436,56448
12-02-2017,0.013347,0.014064,0.011606,0.013299,1262,68814
13-02-2017,0.013295,0.013793,0.01094,0.01374,131,68792
14-02-2017,0.013755,0.01403,0.009085,0.011392,1105,71402
15-02-2017,0.01141,0.011428,0.009148,0.010065,50,59230
16-02-2017,0.010066,0.012468,0.009252,0.01161,313,52253
17-02-2017,0.011595,0.015776,0.009806,0.010598,1470,60189
18-02-2017,0.010629,0.014854,0.010621,0.013096,493,55171
19-02-2017,0.0131,0.017301,0.011749,0.0162,2783,69184
20-02-2017,0.016213,0.016704,0.012673,0.016696,1442,85919
21-02-2017,0.016686,0.017206,0.016485,0.017176,256,88728
22-02-2017,0.017168,0.017226,0.014136,0.014136,1429,91605
23-02-2017,0.014134,0.016574,0.013883,0.015051,234,75674
24-02-2017,0.015128,0.020547,0.012565,0.020539,729,81275
25-02-2017,0.020482,0.026681,0.014554,0.019319,4990,110412
26-02-2017,0.019327,0.024425,0.017889,0.017921,438,104535
27-02-2017,0.017899,0.021847,0.014297,0.014313,465,97136
28-02-2017,0.014322,0.015271,0.011298,0.014089,684,77987
01-03-2017,0.01409,0.019071,0.011334,0.018337,303,76977
02-03-2017,0.01837,0.019249,0.012497,0.018765,639,100701
03-03-2017,0.018761,0.019001,0.008027,0.009843,1275,103183
04-03-2017,0.009862,0.013592,0.008774,0.011861,1408,54421
05-03-2017,0.011853,0.011947,0.009667,0.011822,238,65624
06-03-2017,0.011825,0.012475,0.010167,0.01241,184,65689
07-03-2017,0.012414,0.012415,0.007663,0.008773,1428,69182
08-03-2017,0.008771,0.010473,0.008325,0.009073,335,49038
09-03-2017,0.009076,0.009648,0.007406,0.009603,134,50914
10-03-2017,0.00961,0.009734,0.007751,0.008822,83,54083
11-03-2017,0.008819,0.009149,0.006485,0.009148,341,49793
12-03-2017,0.009154,0.009194,0.006945,0.008305,137,51851
